
2024/11/10 (12:19:35) | ===> btop++ v.1.4.0
2024/11/10 (12:19:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (12:20:51) | ===> btop++ v.1.4.0
2024/11/10 (12:20:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (05:40:56) | ===> btop++ v.1.4.0
2024/11/12 (05:40:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (05:44:30) | ===> btop++ v.1.4.0
2024/11/12 (05:44:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (05:47:45) | ===> btop++ v.1.4.0
2024/11/12 (05:47:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (05:57:46) | ===> btop++ v.1.4.0
2024/11/12 (05:57:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (06:03:07) | ===> btop++ v.1.4.0
2024/11/12 (06:03:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (06:07:19) | ===> btop++ v.1.4.0
2024/11/12 (06:07:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (05:16:59) | ===> btop++ v.1.4.0
2024/11/21 (05:16:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/21 (05:35:29) | ===> btop++ v.1.4.0
2024/11/21 (05:35:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (21:45:37) | ===> btop++ v.1.4.0
2024/11/22 (21:45:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (10:53:44) | ===> btop++ v.1.4.0
2024/11/28 (10:53:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/28 (10:53:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (11:36:28) | ===> btop++ v.1.4.0
2024/11/30 (11:36:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (11:36:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (19:13:48) | ===> btop++ v.1.4.0
2024/12/06 (19:13:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/06 (19:13:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (06:33:41) | ===> btop++ v.1.4.0
2024/12/18 (06:33:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/18 (06:33:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (19:10:15) | ===> btop++ v.1.4.0
2024/12/19 (19:10:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/19 (19:10:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (23:05:45) | ===> btop++ v.1.4.0
2024/12/19 (23:05:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (12:11:28) | ===> btop++ v.1.4.0
2024/12/22 (12:11:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/22 (12:11:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (13:03:37) | ===> btop++ v.1.4.0
